a	a	art_def
aaron	aaron	nom
aarão	aarão	nom
aba	aba	nom
abacate	abacate	nom
abacateiro	abacateiro	nom
abacateiros	abacateiro	nom
abacates	abacate	nom
abacaxi	abacaxi	nom
abacaxis	abacaxi	nom
abacaxizeiro	abacaxizeiro	nom
abaciais	abacial	adj
abacial	abacial	adj
abacá	abacá	nom
abada	abada	nom
abadai	abadar	ver
abadam	abadar	ver
abadarão	abadar	ver
abadas	abada	nom
abade	abade	nom
abadenga	abadengo	adj
abadengas	abadengo	adj
abadengo	abadengo	adj
abadengos	abadengo	adj
abades	abade	nom
abadessa	abadessar	ver
abadessas	abade	nom
abadesses	abadessar	ver
abadia	abadia	nom
abadias	abadia	nom
abadie	abadiar	ver
abadiense	abadiense	adj
abadienses	abadiense	adj
abadio	abadiar	ver
abadiânia	abadiânia	nom
abado	abadar	ver
abados	abar	ver
abadou	abadar	ver
abaete	abaetar	ver
abaeteense	abaeteense	adj
abaeteenses	abaeteense	adj
abaetetubense	abaetetubense	adj
abaetetubenses	abaetetubense	adj
abaeté	abaeté	nom
abafa	abafar	ver
abafada	abafado	adj
abafadas	abafado	adj
abafado	abafado	adj
abafador	abafador	nom
abafadores	abafador	nom
abafados	abafado	adj
abafam	abafar	ver
abafamento	abafamento	nom
abafando	abafar	ver
abafar	abafar	ver
abafaram	abafar	ver
abafava	abafar	ver
abafe	abafar	ver
abafo	abafo	nom
abafou	abafar	ver
abagunçado	abagunçar	ver
abai	abar	ver
abairramento	abairramento	nom
abais	abar	ver
abaixa	abaixar	ver
abaixada	abaixado	adj
abaixadas	abaixado	adj
abaixado	abaixado	adj
abaixador	abaixador	adj
abaixadora	abaixador	adj
abaixadoras	abaixador	adj
abaixadores	abaixador	adj
abaixados	abaixado	adj
abaixam	abaixar	ver
abaixamento	abaixamento	nom
abaixamentos	abaixamento	nom
abaixando	abaixar	ver
abaixar	abaixar	ver
abaixaram	abaixar	ver
abaixarem	abaixar	ver
abaixaria	abaixar	ver
abaixariam	abaixar	ver
abaixassem	abaixar	ver
abaixava	abaixar	ver
abaixavam	abaixar	ver
abaixe	abaixar	ver
abaixei	abaixar	ver
abaixem	abaixar	ver
abaixo	abaixo	adv
abaixou	abaixar	ver
abajur	abajur	nom
abajures	abajur	nom
abala	abalar	ver
abalada	abalado	adj
abaladas	abalado	adj
abalado	abalado	adj
abalados	abalado	adj
abalai	abalar	ver
abalam	abalar	ver
abalamento	abalamento	nom
abalando	abalar	ver
abalança	balançar	ver
abalar	abalar	ver
abalara	abalar	ver
abalaram	abalar	ver
abalaria	abalar	ver
abalariam	abalar	ver
abalará	abalar	ver
abalassem	abalar	ver
abalava	abalar	ver
abalavam	abalar	ver
abale	abalar	ver
abalei	abalar	ver
abalem	abalar	ver
abalizada	abalizado	adj
abalizadas	abalizado	adj
abalizado	abalizado	adj
abalizados	abalizado	adj
abalizar	abalizar	ver
abalo	abalo	nom
abalofar	abalofar	ver
abalone	abalonar	ver
abalones	abalonar	ver
abalos	abalo	nom
abalou	abalar	ver
abalroa	abalroar	ver
abalroada	abalroar	ver
abalroadas	abalroar	ver
abalroado	abalroar	ver
abalroamento	abalroamento	nom
abalroamentos	abalroamento	nom
abalroar	abalroar	ver
abalroaram	abalroar	ver
abalroou	abalroar	ver
abaluartada	abaluartar	ver
abaluartadas	abaluartar	ver
abaluartado	abaluartar	ver
abaluartados	abaluartar	ver
abam	abar	ver
abana	abanar	ver
abanadas	abanar	ver
abanadela	abanadela	nom
abanador	abanador	nom
abanadores	abanador	adj
abanam	abanar	ver
abanando	abanar	ver
abanar	abanar	ver
abanava	abanar	ver
abancado	abancar	ver
abanda	abandar	ver
abandalhar	abandalhar	ver
abandando	abandar	ver
abandeirado	abandeirar	ver
abando	abandar	ver
abandoa	abandoar	ver
abandoado	abandoar	ver
abandona	abandonar	ver
abandonada	abandonado	adj
abandonadas	abandonado	adj
abandonado	abandonado	adj
abandonados	abandonado	adj
abandonai	abandonar	ver
abandonam	abandonar	ver
abandonamos	abandonar	ver
abandonando	abandonar	ver
abandonar	abandonar	ver
abandonara	abandonar	ver
abandonaram	abandonar	ver
abandonarei	abandonar	ver
abandonarem	abandonar	ver
abandonares	abandonar	ver
abandonaria	abandonar	ver
abandonariam	abandonar	ver
abandonarmos	abandonar	ver
abandonará	abandonar	ver
abandonarão	abandonar	ver
abandonaríamos	abandonar	ver
abandonas	abandonar	ver
abandonasse	abandonar	ver
abandonassem	abandonar	ver
abandonaste	abandonar	ver
abandonava	abandonar	ver
abandonavam	abandonar	ver
abandone	abandonar	ver
abandonei	abandonar	ver
abandonem	abandonar	ver
abandonemos	abandonar	ver
abandones	abandonar	ver
abandono	abandono	nom
abandonos	abandono	nom
abandonou	abandonar	ver
abandoou	abandoar	ver
abandou	abandar	ver
abane	abanar	ver
abanes	abanar	ver
abanico	abanicar	ver
abano	abano	nom
abanos	abano	nom
abanou	abanar	ver
abanão	abanão	nom
abar	abar	ver
abara	abar	ver
abaram	abar	ver
abarata	abaratar	ver
abarca	abarcar	ver
abarcada	abarcado	adj
abarcadas	abarcado	adj
abarcado	abarcar	ver
abarcados	abarcar	ver
abarcam	abarcar	ver
abarcando	abarcar	ver
abarcante	abarcante	adj
abarcar	abarcar	ver
abarcaram	abarcar	ver
abarcarem	abarcar	ver
abarcaria	abarcar	ver
abarcará	abarcar	ver
abarcas	abarcar	ver
abarcasse	abarcar	ver
abarcava	abarcar	ver
abarcavam	abarcar	ver
abarcou	abarcar	ver
abares	abar	ver
abarque	abarcar	ver
abarquem	abarcar	ver
abarraca	abarracar	ver
abarracados	abarracado	adj
abarracamento	abarracamento	nom
abarrancado	abarrancar	ver
abarrota	abarrotar	ver
abarrotada	abarrotado	adj
abarrotadas	abarrotar	ver
abarrotado	abarrotado	adj
abarrotados	abarrotar	ver
abarrotam	abarrotar	ver
abarrotando	abarrotar	ver
abarrotar	abarrotar	ver
abarrotaram	abarrotar	ver
abarrotavam	abarrotar	ver
abarrotou	abarrotar	ver
abará	abar	ver
abas	aba	nom
abasse	abar	ver
abastada	abastado	adj
abastadas	abastado	adj
abastado	abastado	adj
abastados	abastado	adj
abastança	abastança	nom
abastar	abastar	ver
abastarda	abastardar	ver
abastardamento	abastardamento	nom
abaste	abar	ver
abastece	abastecer	ver
abastecedor	abastecedor	adj
abastecedora	abastecedor	adj
abastecedoras	abastecedor	adj
abastecedores	abastecedor	adj
abastecem	abastecer	ver
abastecendo	abastecer	ver
abastecer	abastecer	ver
abastecera	abastecer	ver
abasteceram	abastecer	ver
abastecerem	abastecer	ver
abasteceria	abastecer	ver
abasteceriam	abastecer	ver
abastecerá	abastecer	ver
abastecesse	abastecer	ver
abastecessem	abastecer	ver
abasteceu	abastecer	ver
abastecia	abastecer	ver
abasteciam	abastecer	ver
abastecida	abastecer	ver
abastecidas	abastecer	ver
abastecido	abastecer	ver
abastecidos	abastecer	ver
abastecimento	abastecimento	nom
abastecimentos	abastecimento	nom
abasteça	abastecer	ver
abasteçam	abastecer	ver
abasto	abastar	ver
abata	abater	ver
abatam	abater	ver
abate	abate	nom
abatedor	abatedor	nom
abatedouro	abatedouro	nom
abatedouros	abatedouro	nom
abatem	abater	ver
abatendo	abater	ver
abater	abater	ver
abatera	abater	ver
abateram	abater	ver
abaterem	abater	ver
abateria	abater	ver
abaterá	abater	ver
abates	abate	nom
abatesse	abater	ver
abatessem	abater	ver
abateu	abater	ver
abati	abater	ver
abatia	abater	ver
abatiam	abater	ver
abatida	abatido	adj
abatidas	abatido	adj
abatido	abatido	adj
abatidos	abatido	adj
abatimento	abatimento	nom
abatimentos	abatimento	nom
abatis	abati	nom
abato	abater	ver
abaulada	abaulado	adj
abauladas	abaulado	adj
abaulado	abaulado	adj
abaulados	abaulado	adj
abaulamento	abaulamento	nom
abaulamentos	abaulamento	nom
abaunilhado	abaunilhar	ver
abaxiais	abaxial	adj
abaxial	abaxial	adj
abbud	abbud	nom
abc	abc	nom
abcesso	abcesso	nom
abcessos	abcesso	nom
abcissa	abcissa	nom
abcissas	abcissa	nom
abdala	abdala	nom
abdalla	abdalla	nom
abdias	abdias	nom
abdica	abdicar	ver
abdicada	abdicar	ver
abdicado	abdicar	ver
abdicam	abdicar	ver
abdicando	abdicar	ver
abdicar	abdicar	ver
abdicara	abdicar	ver
abdicaram	abdicar	ver
abdicarei	abdicar	ver
abdicarem	abdicar	ver
abdicaria	abdicar	ver
abdicasse	abdicar	ver
abdicassem	abdicar	ver
abdicava	abdicar	ver
abdicavam	abdicar	ver
abdicação	abdicação	nom
abdicações	abdicação	nom
abdico	abdicar	ver
abdicou	abdicar	ver
abdiel	abdiel	nom
abdique	abdicar	ver
abdiquei	abdicar	ver
abdome	abdome	nom
abdominais	abdominal	nom
abdominal	abdominal	adj
abdominoscopia	abdominoscopia	nom
abducente	abducente	adj
abdus	abdus	nom
abdutor	abdutor	adj
abdutora	abdutor	adj
abduz	abduzir	ver
abduzem	abduzir	ver
abduzida	abduzir	ver
abduzidas	abduzir	ver
abduzido	abduzir	ver
abduzidos	abduzir	ver
abduzindo	abduzir	ver
abduzir	abduzir	ver
abduziram	abduzir	ver
abduziu	abduzir	ver
abdução	abdução	nom
abduções	abdução	nom
abdómen	abdómen	nom
abdômen	abdômen	nom
abe	abar	ver
abeca	abecar	ver
abeceda	abecedar	ver
abecedário	abecedário	nom
abegão	abegão	nom
abei	abar	ver
abeira	abeirar	ver
abeiro	abeirar	ver
abel	abel	nom
abelardo	abelardo	nom
abelha	abelha	nom
abelharuco	abelharuco	nom
abelharucos	abelharuco	nom
abelhas	abelha	nom
abelheira	abelheiro	nom
abelheiro	abelheiro	nom
abelheiros	abelheiro	nom
abelhinha	abelha	nom
abelhinhas	abelha	nom
abelho	abelhar	ver
abelhuda	abelhudo	adj
abelhudo	abelhudo	adj
abelhudos	abelhudo	nom
abelhão	abelhão	nom
abelson	abelson	nom
abem	abar	ver
abemolada	abemolar	ver
abençoa	abençoar	ver
abençoada	abençoado	adj
abençoadas	abençoado	adj
abençoado	abençoado	adj
abençoador	abençoador	nom
abençoadora	abençoador	adj
abençoados	abençoar	ver
abençoai	abençoar	ver
abençoam	abençoar	ver
abençoamos	abençoar	ver
abençoando	abençoar	ver
abençoar	abençoar	ver
abençoaram	abençoar	ver
abençoarei	abençoar	ver
abençoarem	abençoar	ver
abençoares	abençoar	ver
abençoaria	abençoar	ver
abençoará	abençoar	ver
abençoasse	abençoar	ver
abençoava	abençoar	ver
abençoe	abençoar	ver
abençoem	abençoar	ver
abençoes	abençoar	ver
abençoou	abençoar	ver
abençôo	abençoar	ver
aberrante	aberrante	adj
aberrantes	aberrante	adj
aberração	aberração	nom
aberrações	aberração	nom
aberta	aberto	adj
abertamente	abertamente	adv
abertas	aberto	adj
aberto	aberto	adj
abertos	aberto	adj
abertura	abertura	nom
aberturas	abertura	nom
abes	abar	ver
abestalhado	abestalhar	ver
abestia	abestiar	ver
abeta	abeta	nom
abetas	abeta	nom
abete	abete	nom
abeto	abeto	nom
abetos	abeto	nom
abi	abi	nom
abicada	abicar	ver
abieiro	abieiro	nom
abiel	abiel	nom
abigail	abigail	nom
abimael	abimael	nom
abio	abio	nom
abiogênese	abiogênese	nom
abis	abi	nom
abismada	abismado	adj
abismado	abismar	ver
abismados	abismar	ver
abismais	abismal	adj
abismal	abismal	adj
abismo	abismo	nom
abismos	abismo	nom
