word,lemma
aboard,aboard
abruptly,abruptly
absolutely,absolutely
abundant,abundant
accessible,accessible
accidentally,accidentally
accurate,accurate
aconsequence,aconsequence
acoustical,acoustical
actionable,actionable
actively,actively
additional,additional
additionally,additionally
adequate,adequate
adjacent,adjacent
administrative,administrative
administratively,administratively
adorable,adorable
advantageous,advantageous
adventurous,adventurous
aerobatic,aerobatic
aeroport,aeroport
affordable,affordable
afraid,afraid
african,african
afterward,afterward
agricultural,agricultural
agriculturally,agriculturally
agronomics,agronomics
ahead,ahead
airforce,airforce
algonquin,algonquin
allegedly,allegedly
alongside,alongside
alongwith,alongwith
alpine,alpine
alternatively,alternatively
altimetric,altimetric
ambitious,ambitious
american,american
americans,american
amphibious,amphibious
anonymous,anonymous
anthropic,anthropic
anthropocene,anthropocene
anthropogenic,anthropogenic
anthropological,anthropological
approximately,approximately
april,april
arabian,arabian
archaeological,archaeological
architectural,architectural
archival,archival
aren’t,be
argentinean,argentinean
arguably,arguably
armenian,armenian
artificial,artificial
artificialized,artificialized
artificials,artificial
artisanal,artisanal
asian,asian
asymmetrical,asymmetrical
athletic,athletic
atlantic,atlantic
atmospheric,atmospheric
atomic,atomic
auspicious,auspicious
authentic,authentic
automatically,automatically
automotive,automotive
autonomous,autonomous
avulnerable,avulnerable
bacterial,bacterial
bacteriological,bacteriological
bathymetric,bathymetric
beachfront,beachfront
beachline,beachline
beachside,beachside
beautifully,beautifully
belgian,belgian
bibliographic,bibliographic
biotope,biotope
birdwatching,birdwatching
blockbuilding,blockbuilding
blog,blog
boldly,boldly
bookable,bookable
born,born
botanic,botanic
bountiful,bountiful
brazilian,brazilian
breathtaking,breathtaking
briefly,briefly
brightly,brightly
britain,britain
british,british
buddhist,buddhist
canadian,canadian
canoeing,canoeing
canola,canola
carribean,carribean
castastrophic,castastrophic
catholic,catholic
cattle,cattle
cenozoic,cenozoic
centrally,centrally
chemometric,chemometric
chilean,chilean
chinese,chinese
cityscape,cityscape
civil,civil
climatic,climatic
climatological,climatological
clinical,clinical
coastal,coastal
coliform,coliform
colombian,colombian
colorful,colorful
comfortable,comfortable
commanderies,commandery
commandery,commandery
commercially,commercially
commonly,commonly
communal,communal
comparable,comparable
competitive,competitive
completely,completely
comprehensively,comprehensively
