a's	a_s
ain't	ain_t
aren't	aren_t
c'mon	c_mon
c's	c_s
can't	can_t
couldn't	couldn_t
didn't	didn_t
doesn't	doesn_t
don't	don_t
hadn't	hadn_t
hasn't	hasn_t
haven't	haven_t
he's	he_s
here's	here_s
i'd	i_d
i'll	i_ll
i'm	i_m
i've	i_ve
isn't	isn_t
it'd	it_d
it'll	it_ll
it's	it_s
let's	let_s
shouldn't	shouldn_t
t's	t_s
that's	that_s
there's	there_s
they'd	they_d
they'll	they_ll
they're	they_re
they've	they_ve
wasn't	wasn_t
we'd	we_d
we'll	we_ll
we're	we_re
we've	we_ve
weren't	weren_t
what's	what_s
where's	where_s
who's	who_s
won't	won_t
wouldn't	wouldn_t
you'd	you_d
you'll	you_ll
you're	you_re
you've	you_ve
