a balavento	a_balavento
a baluto	a_baluto
a baravento	a_baravento
a barullo	a_barullo
a base de	a_base_de
ab intestato	ab_intestato
a bordo	a_bordo
a cabalo	a_cabalo
a cachapernas	a_cachapernas
a cachón	a_cachón
a cada canto	a_cada_canto
a cada pouco	a_cada_pouco
a cambio	a_cambio
a carón de	a_carón_de
a carón	a_carón
a carranchapernas	a_carranchapernas
a carranchas	a_carranchas
a cas de	a_cas_de
a causa de	a_causa_de
a ceacú	a_ceacú
a cegas	a_cegas
acerca de	acerca_de
a chupe	a_chupe
a consecuencia de	a_consecuencia_de
a conta de	a_conta_de
a continuación	a_continuación
a contragusto	a_contragusto
a contramán	a_contramán
a contrapelo	a_contrapelo
a correr	a_correr
a costa de	a_costa_de
a cotío	a_cotío
a dereitas	a_dereitas
a desbarate	a_desbarate
a desbarato	a_desbarato
a descomán	a_descomán
a deshora	a_deshora
a desmán	a_desmán
a destempo	a_destempo
ad hoc	ad_hoc
ad hominem	ad_hominem
a diario	a_diario
a diferencia de	a_diferencia_de
a diferenza de	a_diferenza_de
ad libitum	ad_libitum
ad litteram	ad_litteram
a doután	a_doután
ad pedem litteram	ad_pedem_litteram
a eito	a_eito
a embute	a_embute
a escape	a_escape
a esgalla	a_esgalla
a excepción de	a_excepción_de
a expensas de	a_expensas_de
a favor	a_favor
a feito	a_feito
a fin de contas	a_fin_de_contas
a fin de	a_fin_de
a flote	a_flote
a fondo	a_fondo
a fortiori	a_fortiori
a forza de	a_forza_de
a gatiñas	a_gatiñas
agora ben	agora_ben
agora que	agora_que
a granel	a_granel
a gusto	a_gusto
aínda así	aínda_así
aínda cando	aínda_cando
aínda que	aínda_que
a maiores	a_maiores
a mais	a_mais
a máis tardar	a_máis_tardar
a medias	a_medias
a medida que	a_medida_que
a menos que	a_menos_que
a miúdo	a_miúdo
a modiño	a_modo
a modo	a_modo
a nada que	a_nada_que
a nado	a_nado
a non ser que	a_non_ser_que
a non ser se	a_non_ser_se
ante meridiem	ante_meridiem
antes de antonte	antes_de_antonte
a o agacho	a_o_agacho
a o azar	a_o_azar
a o biés	a_o_biés
a o bordo de	a_o_bordo_de
a o cabo	a_o_cabo
a o carón de	a_o_carón_de
a o carón	a_o_carón
a o carricho	a_o_carricho
a o chou	a_o_chou
a o completo	a_o_completo
a o contrario	a_o_contrario
a o contraxeito	a_o_contraxeito
a o dereito	a_o_dereito
a o desbarate	a_o_desbarate
a o desbarato	a_o_desbarato
a o fin e a o cabo	a_o_fin_e_a_o_cabo
a o fin	a_o_fin
a o garete	a_o_garete
a o lado	a_o_lado
a o longo de	a_o_longo_de
a o mellor	a_o_mellor
a o menos	a_o_menos
a o momentiño	a_o_momento
a o momento	a_o_momento
a o nesgo	a_o_nesgo
a o outro día	a_o_outro_día
a o par de	a_o_par_de
a o par	a_o_par
a o pé de	a_o_pé_de
a o pé	a_o_pé
a o pouco	a_o_pouco
a o quite	a_o_quite
a o raro	a_o_raro
a o redor de	a_o_redor_de
a o redor	a_o_redor
a o rente	a_o_rente
a o respecto de	a_o_respecto_de
a o respecto	a_o_respecto
a o revés	a_o_revés
a os boleiróns	a_os_boleiróns
a os poucos	a_os_poucos
a os pouquiños	a_os_poucos
a os revorcos	a_os_revorcos
a o tanto	a_o_tanto
a o xeito	a_o_xeito
a par de	a_par_de
a partir de	a_partir_de
a pé	a_pé
a penas	a_penas
a penas	a_penas
a pesar de	a_pesar_de
a piques	a_piques
a poder de	a_poder_de
a por de	a_por_de
a posteriori	a_posteriori
a pouco que	a_pouco_que
a pre	a_pre
a priori	a_priori
a prol	a_prol
a propósito	a_propósito
a punto de	a_punto_de
a punto	a_punto
a queimarroupa	a_queimarroupa
a raíz de	a_raíz_de
a rastro	a_rastro
a razón de	a_razón_de
a rebolos	a_rebolos
a recú	a_recú
a regañadentes	a_regañadentes
a rente de	a_rente_de
a rente	a_rente
a rentes de	a_rentes_de
a rentes	a_rentes
a reo	a_reo
a requichas	a_requichas
a respecto de	a_respecto_de
a retortoiro	a_retortoiro
a rolos	a_rolos
arredor de	arredor_de
a sabendas	a_sabendas
a salvo	a_salvo
asemade que	asemade_que
así a todo	así_a_todo
así como	así_como
así e todo	así_e_todo
así mesmo	así_mesmo
así pois	así_pois
así que	así_que
así que	así_que
a son de	a_son_de
a son	a_son
a tempo	a_tempo
a tentas	a_tentas
a teor de	a_teor_de
a tergo	a_tergo
a toda costa	a_toda_costa
a tope	a_tope
a través de	a_través_de
a través	a_través
a traveso de	a_traveso_de
a treo	a_treo
a treu	a_treu
a un tempo	a_un_tempo
a xeito de	a_xeito_de
axiña que	axiña_que
a xuízo de	a_xuízo_de
bardante de	bardante_de
beira de	beira_de
ben como	ben_como
ben que	ben_que
boca abaixo	boca_abaixo
cabo de	cabo_de
cada vez que	cada_vez_que
camiño de	camiño_de
cando menos	cando_menos
cando queira que	cando_queira_que
canto a	canto_a
canto antes	canto_antes
cara a	cara_a
cas de	cas_de
case que	case_que
catar se	catar_se
como mínimo	como_mínimo
como queira que	como_queira_que
conforme a	conforme_a
con o gallo de	con_o_gallo_de
con relación a	con_relación_a
con respecto a	con_respecto_a
con tal de que	con_tal_de_que
con tal que	con_tal_que
con todo	con_todo
contra de	contra_de
dacordo con	dacordo_con
dado que	dado_que
de abondo	de_abondo
de a cabalo	de_a_cabalo
de acordo con	de_acordo_con
de acordo	de_acordo
de a feito	de_a_feito
de aí que	de_aí_que
de alí a pouco	de_alí_a_pouco
