a	a	pre
abad	abad	nom
abajo	abajo	adv
abalanza	abalanzar	ver
abalanzó	abalanzar	ver
abanderado	abanderado	nom
abanderamiento	abanderamiento	nom
abanderar	abanderar	ver
abandona	abandonar	ver
abandonaba	abandonar	ver
abandonaban	abandonar	ver
abandonada	abandonar	ver
abandonadas	abandonar	ver
abandonado	abandonar	ver
abandonados	abandonar	ver
abandonamos	abandonar	ver
abandonan	abandonar	ver
abandonando	abandonar	ver
abandonar	abandonar	ver
abandonara	abandonar	ver
abandonará	abandonar	ver
abandonaran	abandonar	ver
abandonarán	abandonar	ver
abandonaría	abandonar	ver
abandonarían	abandonar	ver
abandonarlo	abandonar	ver
abandonaron	abandonar	ver
abandonas	abandonar	ver
abandone	abandonar	ver
abandonemos	abandonar	ver
abandonen	abandonar	ver
abandonó	abandonar	ver
abandono	abandono	nom
abanico	abanico	nom
abanicos	abanico	nom
abaratamiento	abaratamiento	nom
abarata	abaratar	ver
abaratar	abaratar	ver
abarca	abarcar	ver
abarcaba	abarcar	ver
abarcaban	abarcar	ver
abarcadas	abarcar	ver
abarcados	abarcar	ver
abarcan	abarcar	ver
abarcando	abarcar	ver
abarcar	abarcar	ver
abarcará	abarcar	ver
abarcaría	abarcar	ver
abarcó	abarcar	ver
abarque	abarcar	ver
abarquen	abarcar	ver
abarrotado	abarrotar	ver
abarrotados	abarrotar	ver
abarrotaron	abarrotar	ver
abarrotó	abarrotar	ver
abarrote	abarrote	nom
abarrotes	abarrote	nom
abastecedor	abastecedor	adj
abastecedores	abastecedor	adj
abastece	abastecer	ver
abastecen	abastecer	ver
abastecer	abastecer	ver
abastecerá	abastecer	ver
abastecerse	abastecer	ver
abastecimiento	abastecimiento	nom
abastecimientos	abastecimiento	nom
abasto	abasto	nom
abastos	abasto	nom
abate	abate	nom
abatimiento	abatimiento	nom
abatidas	abatir	ver
abatido	abatir	ver
abatidos	abatir	ver
abatieron	abatir	ver
abatió	abatir	ver
abatir	abatir	ver
abc	abc	nom
abdica	abdicar	ver
abdicó	abdicar	ver
abdomen	abdomen	nom
abecedario	abecedario	nom
abedul	abedul	nom
abeja	abeja	nom
abejas	abeja	nom
abejarucos	abejaruco	nom
abejorros	abejorro	nom
aberración	aberración	nom
aberraciones	aberración	nom
aberrante	aberrante	adj
abertis	abertis	nom
abertura	abertura	nom
aberturas	abertura	nom
abertzale	abertzale	nom
abierta	abierto	adj
abiertamente	abierto	adv
abiertas	abierto	adj
abierto	abierto	adj
abiertos	abierto	adj
abismo	abismo	nom
ablandamiento	ablandamiento	nom
ablandarlos	ablandar	ver
abnegación	abnegación	nom
abnegado	abnegar	ver
abocado	abocar	ver
abocados	abocar	ver
abocarse	abocar	ver
abocinado	abocinar	ver
abogacía	abogacía	nom
abogada	abogado	nom
abogado	abogado	nom
abogados	abogado	nom
aboga	abogar	ver
abogan	abogar	ver
abogando	abogar	ver
abogar	abogar	ver
abogaron	abogar	ver
abogó	abogar	ver
abolición	abolición	nom
abolida	abolir	ver
abolido	abolir	ver
abolió	abolir	ver
abolir	abolir	ver
abombado	abombar	ver
abonado	abonado	nom
abonados	abonado	nom
abona	abonar	ver
abonada	abonar	ver
abonar	abonar	ver
abonará	abonar	ver
abonó	abonar	ver
abono	abono	nom
abonos	abono	nom
aborda	abordar	ver
abordada	abordar	ver
abordado	abordar	ver
abordados	abordar	ver
abordamos	abordar	ver
abordan	abordar	ver
abordando	abordar	ver
abordar	abordar	ver
abordará	abordar	ver
abordarán	abordar	ver
abordaremos	abordar	ver
abordaría	abordar	ver
abordaron	abordar	ver
aborde	abordar	ver
abordo	abordar	ver
abordó	abordar	ver
abordarse	abordarse	ver
aborígenes	aborigen	nom
aborregada	aborregar	ver
aborregadas	aborregar	ver
abortada	abortar	ver
